NdUnfilled_max_value,phi_composition_average,SpaceGroupNumber_composition_average,phi_max_value,NpValence_composition_average,SecondIonizationEnergy_min_value,ThermalExpansionCoefficient_difference,ElasticModulus_composition_average,IsAlkali_arithmetic_average,Electronegativity_composition_average,Group_composition_average,Column_composition_average,ElasticModulus_min_value,ThirdIonizationEnergy_min_value,NUnfilled_arithmetic_average,NdUnfilled_composition_average,SecondIonizationEnergy_difference,HeatFusion_difference,NValance_min_value,BoilingT_difference,IonicRadii_min_value,n_ws^third_composition_average,MendeleevNumber_min_value,SecondIonizationEnergy_arithmetic_average,SecondIonizationEnergy_composition_average
3.0,2.992,128.8,6.86,2.4000000000000004,16.76,1793.6,87.0,0.2,2.7179999999999995,11.4,11.4,5.0,28.47,2.2,0.6,30.526,38.37000000000001,1.0,4345.79,0.62,0.8599999999999999,2.0,32.7468,32.7468
2.0,6.1960000000000015,206.4,6.86,1.8,18.168,226.6,83.2,0.0,2.588,13.0,13.0,208.0,35.17,2.5,0.8,11.433,17.125,5.0,3108.79,0.69,1.69,61.0,23.8845,25.0278
6.0,5.966,201.0,6.86,1.8,14.32,233.8,113.0,0.0,2.524,11.4,11.4,104.0,25.04,5.0,2.2,15.281,33.725,5.0,5791.79,0.53,1.6879999999999995,47.0,14.640333333333333,20.6246
5.0,1.82,84.8,5.2,2.6,20.428,773.8,94.6,0.0,2.7680000000000002,13.6,13.6,12.0,29.829,4.0,1.0,14.688999999999995,33.86,6.0,5778.9,0.53,0.5940000000000001,54.0,18.515,25.1558
9.0,1.58,103.4,4.65,2.4000000000000004,12.8,775.1,71.6,0.0,2.496,11.4,11.4,19.0,24.76,4.75,2.8,22.317,20.78,3.0,3012.9,0.29,0.6,11.0,21.93675,24.5728
0.0,3.0920000000000005,127.4,6.86,2.2,15.035,765.8,24.54,0.0,2.7539999999999996,12.0,12.0,44.4,47.448,1.5,0.0,20.082,12.33,2.0,3051.79,0.72,0.878,66.0,25.0685,27.0782
0.0,3.794000000000001,170.79999999999995,6.86,2.0,11.870999999999999,757.7,5.2,0.25,2.29,9.8,9.8,5.0,47.448,1.5,0.0,35.415,8.319999999999999,1.0,1679.79,1.0,1.0059999999999998,2.0,30.96875,30.6952
0.0,3.322,128.4,6.86,2.8000000000000003,16.345,1797.4,92.6,0.0,2.786,12.8,12.8,162.0,33.492,2.0,0.0,18.772000000000002,49.99,2.0,3095.79,0.26,0.9640000000000001,67.0,26.848799999999994,26.848799999999994
5.0,2.262,117.39999999999998,6.86,3.0,15.64,761.2,47.6,0.0,2.7139999999999995,14.0,14.0,40.0,27.96,3.0,1.0,19.477,17.16,5.0,2256.79,0.67,0.6519999999999999,52.0,24.7395,26.815
0.0,2.0,97.2,5.45,2.8,15.934000000000001,774.3,48.4,0.0,2.906,14.4,14.4,115.0,32.93,2.0,0.0,19.183,36.72,6.0,3145.9,0.53,0.608,62.0,23.56033333333333,28.183
2.0,1.93,108.8,5.2,2.4000000000000004,18.168,766.6,70.2,0.0,2.654,13.8,13.8,19.0,34.83,1.75,0.4,16.948999999999998,17.26,6.0,3109.9,0.29,0.6439999999999999,61.0,24.22675,26.4048
9.0,4.338,152.0,6.86,2.6,11.059000000000001,774.8,17.8,0.0,2.56,12.8,12.8,39.0,19.174,4.25,1.8,24.058000000000003,24.22,3.0,3659.79,0.58,1.1840000000000002,13.0,23.6025,24.8022
0.0,3.0920000000000005,121.8,6.86,3.0000000000000004,16.53,769.0,27.5,0.0,2.716,15.0,15.0,67.0,25.3,3.25,0.0,18.587,19.57,3.0,2714.79,0.54,0.8599999999999999,73.0,25.019000000000002,27.0386
8.0,4.553999999999999,163.8,6.86,2.0,14.925,774.1,53.2,0.0,2.604,12.0,12.0,127.0,23.32,3.25,1.6,20.192,26.98,5.0,4798.79,0.64,1.2839999999999998,45.0,24.81825,25.774799999999995
0.0,4.484,153.2,6.86,2.8000000000000003,14.632,774.3,33.0,0.0,2.698,14.8,14.8,50.0,30.502,3.25,0.0,20.485,36.72,5.0,3015.79,0.53,1.182,79.0,23.821,24.976999999999997
6.0,3.1519999999999997,135.0,6.86,2.8000000000000003,15.027999999999999,1795.5,84.2,0.0,3.03,13.6,13.6,20.0,31.943,3.2,1.2,20.089000000000002,52.09,5.0,5750.79,0.6,0.922,51.0,22.9432,22.9432
0.0,2.572,128.8,6.86,2.6000000000000005,20.428,1770.1,2.8,0.2,2.58,12.4,12.4,2.0,29.829,2.4000000000000004,0.0,14.688999999999995,3.9219999999999997,1.0,1668.79,1.33,0.6739999999999999,4.0,29.4792,29.4792
8.0,1.59,85.8,4.15,2.8000000000000003,13.58,771.4,35.8,0.0,2.592,13.200000000000005,13.200000000000005,19.0,27.491,4.0,1.6,21.537,13.93,4.0,3469.9,0.29,0.552,43.0,21.66475,24.3552
3.0,6.1560000000000015,188.40000000000003,6.86,2.4,16.76,233.6,93.8,0.0,2.7,13.6,13.6,39.0,28.351,3.333333333333333,0.6,12.840999999999998,38.23500000000001,5.0,4345.79,0.58,1.6439999999999997,56.0,21.664666666666665,24.8392
9.0,1.1800000000000002,103.4,3.2,2.4000000000000004,12.24,768.7,17.68,0.25,2.322,10.4,10.4,5.0,20.52,3.5,1.8,35.046,11.17,1.0,3527.9,0.29,0.406,2.0,29.49325,30.618000000000002
7.0,3.0420000000000003,102.79999999999998,6.86,2.6,14.65,1791.6,28.0,0.0,2.78,13.2,13.2,11.0,29.31,3.6,1.4,20.467,21.28,5.0,3602.79,0.54,0.92,46.0,26.9696,26.9696
7.0,3.052,117.6,6.86,2.6,14.632,771.6,35.8,0.0,2.702,13.2,13.2,50.0,29.31,4.0,1.4,20.485,21.28,5.0,3602.79,0.54,0.906,46.0,23.5,25.8234
2.0,5.766000000000001,207.2,6.86,1.8,18.08,231.8,68.0,0.3333333333333333,2.4760000000000004,11.0,11.0,10.0,31.06,2.333333333333333,0.4,58.55800000000001,26.235,1.0,3890.79,0.67,1.5379999999999998,1.0,41.43966666666667,36.7042
4.0,4.5600000000000005,154.0,6.86,2.4,14.632,768.2,52.2,0.0,2.6619999999999995,13.6,13.6,50.0,30.502,3.25,0.8,20.485,13.59,5.0,3056.79,0.55,1.2619999999999998,55.0,23.8825,25.0262
9.0,4.513999999999999,163.8,6.86,2.0,12.24,771.2,47.88,0.0,2.6039999999999996,11.8,11.8,64.4,20.52,4.0,2.0,22.876999999999995,21.955,3.0,4020.79,0.63,1.258,12.0,23.88025,25.0244
0.0,5.7860000000000005,152.0,6.86,2.4,16.687,226.6,11.2,0.0,2.628,14.4,14.4,22.0,25.559,2.0,0.0,12.913999999999998,10.751,5.0,1759.79,1.02,1.4699999999999998,71.0,21.68233333333333,24.8498
7.0,1.88,98.6,5.15,2.6,14.65,1791.6,41.46,0.0,3.0060000000000002,13.0,13.0,78.3,29.31,2.75,1.4,20.467,21.28,5.0,3595.12,0.54,0.6419999999999999,46.0,26.3145,28.075
1.0,2.14,91.6,5.65,2.6,18.211,1791.2,95.2,0.0,2.942,12.2,12.2,175.0,54.934,1.25,0.2,16.906,21.955,2.0,4013.12,0.45,0.69,63.0,26.71525,28.3956
0.0,5.136000000000001,206.4,6.86,1.8,11.870999999999999,217.7,8.4,0.0,2.224,9.8,9.8,21.0,47.448,1.5,0.0,17.729999999999997,8.184999999999999,2.0,1679.79,1.0,1.354,7.0,20.736,22.509
9.0,5.176,201.0,6.86,1.8,12.24,228.7,13.28,0.3333333333333333,2.2319999999999998,9.8,9.8,2.0,20.52,4.333333333333333,1.8,17.360999999999994,11.035,1.0,3540.79,1.02,1.352,4.0,23.04033333333333,25.6646
2.0,3.5420000000000003,133.6,6.86,2.2,18.08,771.8,91.4,0.0,2.88,13.2,13.2,127.0,31.06,2.0,0.4,17.037,26.37,5.0,3890.79,0.64,1.016,59.0,25.607,27.509
7.0,4.3740000000000006,164.6,6.86,2.0,17.964000000000002,773.7,55.6,0.0,2.5340000000000003,12.6,12.6,95.0,39.722,3.0,1.4,17.153,36.35,5.0,5653.79,0.64,1.25,48.0,20.6705,22.4566
2.0,1.97,108.8,5.4,2.4000000000000004,18.08,771.8,94.6,0.0,2.728,13.6,13.6,19.0,31.06,2.0,0.4,17.037,26.37,6.0,3877.9,0.29,0.6459999999999999,59.0,24.20475,26.3872
3.0,3.302,127.4,6.86,2.2,17.964000000000002,773.6,125.6,0.0,2.7539999999999996,13.6,13.6,95.0,39.722,2.0,0.6,17.153,40.9,5.0,4623.79,0.63,0.96,60.0,20.6705,23.5598
8.0,1.63,91.6,4.35,2.6,13.58,1791.4,38.0,0.0,2.866,12.8,12.8,80.0,27.491,3.0,1.6,21.537,13.93,4.0,3475.12,0.61,0.5760000000000001,43.0,26.28925,28.0548
2.0,1.87,54.6,5.2,3.0,16.687,766.6,48.4,0.0,2.85,14.6,14.6,34.0,25.559,2.333333333333333,0.4,18.43,17.26,6.0,3095.9,0.69,0.5820000000000001,61.0,23.324,28.0412
5.0,5.976000000000001,168.0,6.86,2.0,20.51,233.8,94.4,0.0,2.5660000000000003,13.0,13.0,11.0,30.71,4.333333333333334,1.0,9.090999999999998,33.725,5.0,5791.79,0.53,1.622,54.0,16.703666666666667,21.8626
8.0,1.65,90.0,4.45,2.6,13.58,1791.4,61.6,0.0,2.79,12.0,12.0,110.0,27.491,4.0,2.6,21.537,13.93,4.0,3475.12,0.61,0.626,43.0,24.82675,26.8848
2.0,4.244,170.8,6.86,2.0,18.08,771.8,66.4,0.25,2.524,11.2,11.2,2.0,31.06,2.25,0.4,17.037,26.37,1.0,3890.79,0.67,1.1320000000000001,4.0,27.5195,27.9358
3.0,2.8720000000000003,128.2,6.86,2.2,16.76,773.6,86.4,0.25,2.588,11.2,11.2,2.0,28.47,2.5,0.6,18.357,38.37000000000001,1.0,4345.79,0.62,0.816,4.0,27.1895,28.775
0.0,1.88,98.6,4.7,3.4000000000000004,16.345,1797.4,64.8,0.0,2.9319999999999995,15.4,15.4,162.0,33.492,2.333333333333333,0.0,18.772000000000002,49.99,4.0,3088.12,0.26,0.6,78.0,28.810666666666666,27.5788
6.0,3.272,135.0,6.86,2.4000000000000004,14.32,1792.7,46.2,0.0,2.852,12.6,12.6,104.0,25.04,2.6,1.2,20.797,29.78,5.0,4939.79,0.64,0.992,47.0,26.727599999999995,26.727599999999995
2.0,3.4419999999999997,133.60000000000002,6.86,2.2,18.168,766.6,57.26000000000001,0.0,2.8739999999999997,13.6,13.6,78.3,35.17,2.0,0.4,16.948999999999998,17.26,5.0,3108.79,0.69,0.994,61.0,25.85175,27.7048
9.0,2.7020000000000004,121.2,6.86,2.2,12.24,768.7,21.76,0.0,2.49,10.4,10.4,44.4,20.52,3.5,1.8,22.876999999999995,11.17,2.0,3540.79,0.72,0.8059999999999999,12.0,22.998249999999995,25.422
5.0,3.232,121.8,6.86,2.4000000000000004,17.964000000000002,1793.8,111.2,0.0,2.802,13.400000000000002,13.400000000000002,95.0,39.722,2.2,1.0,17.153,33.86,5.0,5791.79,0.53,0.9640000000000001,54.0,23.5304,23.5304
0.0,5.706,194.0,6.86,2.0,16.908,210.1,14.8,0.0,2.4859999999999998,14.0,14.0,12.0,29.829,2.666666666666667,0.0,12.692999999999998,5.855,5.0,1668.79,0.95,1.462,70.0,22.31233333333333,25.2278
0.0,3.132,133.60000000000002,6.86,2.2,20.292,763.5,40.8,0.0,2.75,13.8,13.8,80.0,34.83,1.75,0.0,14.824999999999996,13.38,5.0,3122.79,0.73,0.8959999999999999,64.0,26.625,28.3234
0.0,1.4500000000000002,98.2,4.7,3.0,11.870999999999999,1797.4,36.6,0.0,2.752,13.0,13.0,21.0,33.492,1.75,0.0,23.245999999999995,49.99,2.0,3088.12,0.26,0.48200000000000004,7.0,24.57575,26.684
4.0,4.604,157.6,6.86,2.2,20.428,774.9,112.4,0.0,2.668,13.4,13.4,12.0,29.829,3.5,0.8,14.688999999999995,57.63,5.0,5207.79,0.63,1.2539999999999998,57.0,21.2865,22.9494
4.0,1.95,91.0,5.4,2.4,21.49,774.9,126.0,0.0,2.89,13.4,13.4,80.0,34.83,2.333333333333333,0.8,13.627,57.63,6.0,5194.9,0.63,0.642,57.0,18.869,25.3682
4.0,1.96,90.8,5.4,3.0000000000000004,16.53,774.9,127.2,0.0,2.742,14.2,14.2,19.0,25.3,2.75,0.8,18.587,57.63,6.0,5194.9,0.29,0.622,57.0,18.74425,22.0188
0.0,1.74,68.8,4.8,3.4000000000000004,18.633,1784.6,10.6,0.0,2.964,15.4,15.4,14.0,28.03,2.75,0.0,16.483999999999998,24.22,6.0,2260.12,0.58,0.522,75.0,26.89725,28.5412
0.0,2.802,128.2,6.86,2.2,18.211,768.7,60.6,0.25,2.4619999999999997,10.0,10.0,2.0,40.0,1.5,0.0,16.906,7.675,1.0,2665.79,0.45,0.7839999999999999,4.0,27.55225,29.0652
3.0,1.85,48.99999999999999,5.1,3.2,16.687,1787.0,48.4,0.0,2.952,14.6,14.6,34.0,25.559,2.25,0.6,18.43,15.98,6.0,3115.12,0.65,0.5820000000000001,58.0,25.9585,27.7902
5.0,4.553999999999999,159.0,6.86,2.6,16.461,775.2,77.80000000000003,0.0,2.7460000000000004,13.4,13.4,67.0,25.3,3.5,1.0,18.656,37.26,5.0,4834.79,0.59,1.2659999999999998,50.0,24.42725,25.462
5.0,1.71,103.4,4.65,2.6000000000000005,16.461,775.2,70.60000000000002,0.0,2.648,13.4,13.4,12.0,27.16,3.75,1.0,18.656,37.26,6.0,4821.9,0.29,0.5780000000000001,50.0,23.834,26.0906
0.0,1.88,86.0,5.3,3.2,15.027999999999999,1795.3,92.2,0.0,3.0460000000000003,15.2,15.2,20.0,31.943,3.0,0.0,20.089000000000002,49.98,3.0,4188.12,0.23,0.58,72.0,27.56725,29.0772
5.0,3.302,125.79999999999998,6.86,2.2,15.64,773.8,131.8,0.0,2.6739999999999995,12.2,12.2,198.0,33.667,3.75,2.0,19.477,33.86,5.0,5791.79,0.53,1.0219999999999998,52.0,20.0895,23.095
3.0,3.412,121.2,6.86,2.2,17.06,767.0,83.2,0.0,2.736,13.0,13.0,208.0,33.5,2.6666666666666665,1.2,18.057000000000002,15.98,5.0,3122.79,0.65,1.0299999999999998,58.0,27.25933333333333,26.791
